Event Name,Winner,Loser,Title Match (Yes/No)
NXT Spring Breakin',Oba Femi,Oro Mensah,No
NXT Spring Breakin',Indi Hartwell,Roxanne Perez,Yes
NXT Spring Breakin',Indi Hartwell,Tiffany Stratton,Yes
WWE Draft,LA Knight,Butch,No
WWE Draft,Angelo Dawkins,Braun Strowman,No
WWE Draft,Montez Ford,Ricochet,No
WWE Draft,Zelina Vega,Sonya Deville,No
WWE Draft,Kevin Owens,Jimmy Uso,Yes
WWE Draft,Sami Zayn,Jey Uso,Yes
WWE Draft,Damage CTRL,Liv Morgan,No
WWE Draft,Dakota Kai,Raquel Rodriguez,No
WWE Draft,Braun Strowman,Chad Gable,No
WWE Draft,Ricochet,Otis,No
WWE Draft,Matt Riddle,Jimmy Uso,No
WWE Draft,Omos,Anthony Alanis,No
WWE Draft,Damian Priest,Rey Mysterio,No
WWE Draft,Dominik Mysterio,Santos Escobar,No
WWE Draft,Rhea Ripley,Zelina Vega,No
WWE Draft,Seth Rollins,Solo Sikoa,No
WWE Backlash,Bianca Belair,IYO SKY,Yes
WWE Backlash,Seth Rollins,Omos,No
WWE Backlash,Austin Theory,Bobby Lashley,Yes
WWE Backlash,Rhea Ripley,Zelina Vega,Yes
WWE Backlash,Bad Bunny,Damian Priest,No
WWE Backlash,Jimmy Uso,Kevin Owens,No
WWE Backlash,Jey Uso,Sami Zayn,No
WWE Backlash,Solo Sikoa,Matt Riddle,No
WWE Backlash,Cody Rhodes,Brock Lesnar,No
WWE Night of Champions,"Seth ""Freakin"" Rollins",AJ Styles,Yes
WWE Night of Champions,Trish Stratus,Becky Lynch,No
WWE Night of Champions,Gunther,Mustafa Ali,Yes
WWE Night of Champions,Asuka,Bianca Belair,Yes
WWE Night of Champions,Rhea Ripley,Natalya,Yes
WWE Night of Champions,Brock Lesnar,Cody Rhodes,No
WWE Night of Champions,Kevin Owens,Roman Reigns,Yes
WWE Night of Champions,Sami Zayn,Solo Sikoa,Yes
NXT Battleground,Wes Lee,Tyler Bate,Yes
NXT Battleground,Noam Dar,Dragon Lee,Yes
NXT Battleground,Ilja Dragunov,Dijak,No
NXT Battleground,Mark Coffey,Brutus Creed,Yes
NXT Battleground,Tiffany Stratton,Lyra Valkyria,Yes
NXT Battleground,Carmelo Hayes,Bron Breakker,Yes
WWE Money in the Bank,Damian Priest,Logan Paul,No
WWE Money in the Bank,Liv Morgan,Ronda Rousey,Yes
WWE Money in the Bank,Gunther,Matt Riddle,Yes
WWE Money in the Bank,Cody Rhodes,Dominik Mysterio,No
WWE Money in the Bank,IYO SKY,Becky Lynch,No
WWE Money in the Bank,"Seth ""Freakin"" Rollins",Finn Balor,Yes
WWE Money in the Bank,Jimmy Uso,Roman Reigns,No
WWE Money in the Bank,Jey Uso,Solo Sikoa,No
NXT The Great American Bash,Nathan Frazer,Noam Dar,No
NXT The Great American Bash,Dragon Lee,Oro Mensah,No
NXT The Great American Bash,Valentina Feroz,Lash Legend,No
NXT The Great American Bash,Yulisa León,Jakara Jackson,No
NXT The Great American Bash,Tony D'Angelo,Mark Coffey,Yes
NXT The Great American Bash,"Channing ""Stacks"" Lorenzo",Wolfgang,Yes
NXT The Great American Bash,Roxanne Perez,Blair Davenport,No
NXT The Great American Bash,Gable Steveson,Baron Corbin,No
NXT The Great American Bash,Dominik Mysterio,Wes Lee,Yes
NXT The Great American Bash,Dominik Mysterio,Mustafa Ali,Yes
NXT The Great American Bash,Tiffany Stratton,Thea Hail,Yes
NXT The Great American Bash,Carmelo Hayes,Ilja Dragunov,Yes
WWE SummerSlam,Logan Paul,Ricochet,No
WWE SummerSlam,Cody Rhodes,Brock Lesnar,No
WWE SummerSlam,LA Knight,Many,No
WWE SummerSlam,Shayna Baszler,Ronda Rousey,No
WWE SummerSlam,Gunther,Drew McIntyre,Yes
WWE SummerSlam,"Seth ""Freakin"" Rollins",Finn Balor,Yes
WWE SummerSlam,Bianca Belair,Asuka,Yes
WWE SummerSlam,IYO SKY,Bianca Belair,Yes
WWE SummerSlam,Roman Reigns,Jey Uso,Yes
NXT Heatwave,Ilja Dragunov,Trick Williams,No
NXT Heatwave,Ivy Nile,Ava,No
NXT Heatwave,Nathan Frazer,Noam Dar,Yes
NXT Heatwave,Lyra Valkyria,Rhea Ripley,No
NXT Heatwave,Lyra Valkyria,Dominik Mysterio,No
NXT Heatwave,Baron Corbin,Von Wagner,No
NXT Heatwave,Carmelo Hayes,Wes Lee,Yes
WWE Payback,Becky Lynch,Trish Stratus,No
WWE Payback,LA Knight,The Miz,No
WWE Payback,Rey Mysterio,Austin Theory,Yes
WWE Payback,Finn Balor,Kevin Owens,Yes
WWE Payback,Rhea Ripley,Raquel Rodriguez,Yes
WWE Payback,"Seth ""Freakin"" Rollins",Shinsuke Nakamura,Yes
WWE Superstar Spectacle,Kevin Owens,Veer,No
WWE Superstar Spectacle,Kevin Owens,Sanga,No
WWE Superstar Spectacle,Drew McIntyre,Jinder Mahal,No
WWE Superstar Spectacle,Drew McIntyre,Veer,No
WWE Superstar Spectacle,Drew McIntyre,Sanga,No
WWE Superstar Spectacle,Natalya,Zoey Stark,No
WWE Superstar Spectacle,Gunther,Shanky,Yes
WWE Superstar Spectacle,Bron Breakker,Odyssey Jones,No
WWE Superstar Spectacle,Rhea Ripley,Natalya,Yes
WWE Superstar Spectacle,John Cena,Ludwig Kaiser,No
WWE Superstar Spectacle,Seth Rollins,Ludwig Kaiser,No
WWE Superstar Spectacle,John Cena,Giovanni Vinci,No
WWE Superstar Spectacle,Seth Rollins,Giovanni Vinci,No
NXT No Mercy,Blair Davenport,Kelani Jordan,No
NXT No Mercy,Baron Corbin,Bron Breakker,No
NXT No Mercy,Trick Williams,Dominik Mysterio,Yes
NXT No Mercy,Tony D'Angelo,Brutus Creed,Yes
NXT No Mercy,"Channing ""Stacks"" Lorenzo",Julius Creed,Yes
NXT No Mercy,Noam Dar,Butch,Yes
NXT No Mercy,Ilja Dragunov,Carmelo Hayes,Yes
NXT No Mercy,Becky Lynch,Tiffany Stratton,Yes
WWE Fastlane,Finn Balor,Cody Rhodes,Yes
WWE Fastlane,Damian Priest,Cody Rhodes,Yes
WWE Fastlane,Bobby Lashley,Angelo Dawkins,No
WWE Fastlane,Bobby Lashley,Montez Ford,No
WWE Fastlane,Rey Mysterio,Bobby Lashley,No
WWE Fastlane,Santos Escobar,Bobby Lashley,No
WWE Fastlane,Carlito,Bobby Lashley,No
WWE Fastlane,IYO SKY,Charlotte Flair,Yes
WWE Fastlane,IYO SKY,Asuka,Yes
WWE Fastlane,John Cena,Jimmy Uso,No
WWE Fastlane,John Cena,Solo Sikoa,No
WWE Fastlane,Seth Rollins,Shinsuke Nakamura,Yes
NXT Halloween Havoc,Roxanne Perez,Kiana James,No
NXT Halloween Havoc,Lexis King,Dante Chen,No
NXT Halloween Havoc,Kelani Jordan,Arianna Grace,No
NXT Halloween Havoc,Andre Chase,Tony D'Angelo,Yes
NXT Halloween Havoc,Blair Davenport,Gigi Dolin,No
NXT Halloween Havoc,Lola Vice,Karmen Petrovic,No
NXT Halloween Havoc,Lyra Valkyria,Becky Lynch,Yes
NXT Halloween Havoc,Brutus Creed,Angel Garza,No
NXT Halloween Havoc,Tiffany Stratton,Fallon Henley,No
NXT Halloween Havoc,Dominik Mysterio,Nathan Frazer,Yes
NXT Halloween Havoc,Chelsea Green,Thea Hail,Yes
NXT Halloween Havoc,Lola Vice,Kelani Jordan,No
NXT Halloween Havoc,Ilja Dragunov,Carmelo Hayes,Yes
WWE Crown Jewel,Sami Zayn,JD McDonagh,No
WWE Crown Jewel,"Seth ""Freakin"" Rollins",Drew McIntyre,Yes
WWE Crown Jewel,Rhea Ripley,Nia Jax,Yes
WWE Crown Jewel,Solo Sikoa,John Cena,No
WWE Crown Jewel,Logan Paul,Rey Mysterio,Yes
WWE Crown Jewel,IYO SKY,Bianca Belair,Yes
WWE Crown Jewel,Cody Rhodes,Damian Priest,No
WWE Crown Jewel,Roman Reigns,LA Knight,Yes
WWE Survivor Series,Charlotte Flair,Bayley,No
WWE Survivor Series,IYO SKY,Becky Lynch,No
WWE Survivor Series,Gunther,The Miz,Yes
WWE Survivor Series,Rhea Ripley,Zoey Stark,Yes
WWE Survivor Series,Santos Escobar,Dragon Lee,No
WWE Survivor Series,Cody Rhodes,Drew McIntyre,No
WWE Survivor Series,"Seth ""Freakin"" Rollins",Finn Balor,No
WWE Survivor Series,Randy Orton,Damian Priest,No
WWE Survivor Series,Sami Zayn,Dominik Mysterio,No
WWE Survivor Series,Jey Uso,JD McDonagh,No
WWE SmackDown,Santos Escobar,Dragon Lee,No
WWE SmackDown,Bobby Lashley,Karrion Kross,No
WWE SmackDown,Asuka,Charlotte Flair,No
WWE SmackDown,Randy Orton,Jimmy Uso,No
WWE SmackDown,LA Knight,Solo Sikoa,No
NXT Deadline,Axiom,Nathan Frazer,No
NXT Deadline,Dragon Lee,Dominik Mysterio,Yes
NXT Deadline,Blair Davenport,Lash Legend,No
NXT Deadline,Carmelo Hayes,Lexis King,No
NXT Deadline,Trick Williams,Bron Breakker,No
NXT Deadline,Roxanne Perez,Kiana James,No
NXT Deadline,Ilja Dragunov,Baron Corbin,Yes
