Event Name,Winner,Loser,Title Match (Yes/No)
NXT New Year's Evil,Dijak,Tony D'Angelo,No
NXT New Year's Evil,Mark Coffey,Elton Prince,No
NXT New Year's Evil,Mark Coffey,Kit Wilson,No
NXT New Year's Evil,Bron Breakker,Grayson Waller,Yes
NXT New Year's Evil,Charlie Dempsey,Hank Walker,No
NXT New Year's Evil,Jinder Mahal,Julius Creed,No
NXT New Year's Evil,Gigi Dolin,Cora Jade,No
NXT New Year's Evil,Jacy Jayne,Cora Jade,No
NXT New Year's Evil,Gigi Dolin,Zoey Stark,No
NXT New Year's Evil,Jacy Jayne,Zoey Stark,No
NXT New Year's Evil,Gigi Dolin,Indi Hartwell,No
NXT New Year's Evil,Jacy Jayne,Indi Hartwell,No
NXT New Year's Evil,Gigi Dolin,Nikkita Lyons,No
NXT New Year's Evil,Jacy Jayne,Nikkita Lyons,No
NXT New Year's Evil,Gigi Dolin,Wendy Choo,No
NXT New Year's Evil,Jacy Jayne,Wendy Choo,No
NXT New Year's Evil,Gigi Dolin,Elektra Lopez,No
NXT New Year's Evil,Jacy Jayne,Elektra Lopez,No
NXT New Year's Evil,Gigi Dolin,Kiana James,No
NXT New Year's Evil,Jacy Jayne,Kiana James,No
NXT New Year's Evil,Gigi Dolin,Fallon Henley,No
NXT New Year's Evil,Jacy Jayne,Fallon Henley,No
NXT New Year's Evil,Gigi Dolin,Ivy Nile,No
NXT New Year's Evil,Jacy Jayne,Ivy Nile,No
NXT New Year's Evil,Gigi Dolin,Tatum Paxley,No
NXT New Year's Evil,Jacy Jayne,Tatum Paxley,No
NXT New Year's Evil,Gigi Dolin,Thea Hail,No
NXT New Year's Evil,Jacy Jayne,Thea Hail,No
NXT New Year's Evil,Gigi Dolin,Lyra Valkyria,No
NXT New Year's Evil,Jacy Jayne,Lyra Valkyria,No
NXT New Year's Evil,Gigi Dolin,Lash Legend,No
NXT New Year's Evil,Jacy Jayne,Lash Legend,No
NXT New Year's Evil,Gigi Dolin,Amari Miller,No
NXT New Year's Evil,Jacy Jayne,Amari Miller,No
NXT New Year's Evil,Gigi Dolin,Sol Ruca,No
NXT New Year's Evil,Jacy Jayne,Sol Ruca,No
NXT New Year's Evil,Gigi Dolin,Valentina Feroz,No
NXT New Year's Evil,Jacy Jayne,Valentina Feroz,No
NXT New Year's Evil,Gigi Dolin,Jakara Jackson,No
NXT New Year's Evil,Jacy Jayne,Jakara Jackson,No
NXT New Year's Evil,Gigi Dolin,Dani Palmer,No
NXT New Year's Evil,Jacy Jayne,Dani Palmer,No
NXT New Year's Evil,Brutus Creed,Veer Mahaan,No
NXT New Year's Evil,Julius Creed,Veer Mahaan,No
WWE Royal Rumble 2023,Cody Rhodes,Many,No
WWE Royal Rumble 2023,Bray Wyatt,LA Knight,No
WWE Royal Rumble 2023,Bianca Belair,Alexa Bliss,Yes
WWE Royal Rumble 2023,Rhea Ripley,Many,No
WWE Royal Rumble 2023,Roman Reigns,Kevin Owens,Yes
NXT Vengeance Day,Wes Lee,Dijak,Yes
NXT Vengeance Day,Fallon Henley,Kayden Carter,Yes
NXT Vengeance Day,Kiana James,Katana Chance,Yes
NXT Vengeance Day,Carmelo Hayes,Apollo Crews,No
NXT Vengeance Day,Mark Coffey,Kofi Kingston,Yes
NXT Vengeance Day,Wolfgang,Xavier Woods,Yes
NXT Vengeance Day,Roxanne Perez,Gigi Dolin,Yes
NXT Vengeance Day,Roxanne Perez,Jacy Jayne,Yes
NXT Vengeance Day,Bron Breakker,Grayson Waller,Yes
WWE Elimination Chamber,Asuka,Natalya,No
WWE Elimination Chamber,Asuka,Liv Morgan,No
WWE Elimination Chamber,Asuka,Raquel Rodriguez,No
WWE Elimination Chamber,Asuka,Carmella,No
WWE Elimination Chamber,Bobby Lashley,Brock Lesnar,No
WWE Elimination Chamber,Finn Balor,Edge,No
WWE Elimination Chamber,Rhea Ripley,Edge,No
WWE Elimination Chamber,Austin Theory,Johnny Gargano,Yes
WWE Elimination Chamber,Austin Theory,Seth Rollins,Yes
WWE Elimination Chamber,Austin Theory,Damian Priest,Yes
WWE Elimination Chamber,Austin Theory,Bronson Reed,Yes
WWE Elimination Chamber,Austin Theory,Montez Ford,Yes
WWE Elimination Chamber,Roman Reigns,Sami Zayn,Yes
NXT Roadblock,Tony D'Angelo,Dijak,No
NXT Roadblock,Bron Breakker,Brutus Creed,No
NXT Roadblock,Bron Breakker,Julius Creed,No
NXT Roadblock,Jinder Mahal,Veer Mahaan,No
NXT Roadblock,Jinder Mahal,Sanga,No
NXT Roadblock,Gigi Dolin,Jacy Jayne,No
NXT Roadblock,Joe Gacy,Andre Chase,No
NXT Roadblock,Roxanne Perez,Meiko Satomura,Yes
NXT Stand & Deliver,Tyler Bate,Joe Gacy,No
NXT Stand & Deliver,Andre Chase,Joe Gacy,No
NXT Stand & Deliver,Duke Hudson,Rip Fowler,No
NXT Stand & Deliver,Thea Hail,Jagger Reid,No
NXT Stand & Deliver,Indi Hartwell,Roxanne Perez,Yes
NXT Stand & Deliver,Mark Coffey,Brutus Creed,Yes
NXT Stand & Deliver,Mark Coffey,Julius Creed,Yes
NXT Stand & Deliver,Wolfgang,Tony D'Angelo,Yes
NXT Stand & Deliver,Wolfgang,"Channing ""Stacks"" Lorenzo",Yes
NXT Stand & Deliver,Wes Lee,JD McDonagh,Yes
NXT Stand & Deliver,Wes Lee,Dragon Lee,Yes
NXT Stand & Deliver,Wes Lee,Ilja Dragunov,Yes
NXT Stand & Deliver,Johnny Gargano,Grayson Waller,No
NXT Stand & Deliver,Alba Fyre,Fallon Henley,Yes
NXT Stand & Deliver,Isla Dawn,Kiana James,Yes
NXT Stand & Deliver,Carmelo Hayes,Bron Breakker,Yes
NXT Spring Breakin',Tony D'Angelo,Elton Prince,No
NXT Spring Breakin',Channing Lorenzo,Kit Wilson,No
NXT Spring Breakin',Bron Breakker,Andre Chase,No
NXT Spring Breakin',Lyra Valkyria,Cora Jade,No
NXT Spring Breakin',Carmelo Hayes,Grayson Waller,Yes
NXT Spring Breakin',Josh Briggs,Brooks Jensen,No
NXT Spring Breakin',Fallon Henley,Kiana James,No
